|Date|Dollar|EUR|Grivna|Rupia
0|01.03.2020|27.2570|93.0752|73.7235|66.9909
1|02.03.2020|27.2570|93.0752|73.7235|66.9909
2|03.03.2020|26.8030|92.0013|73.4178|66.3274
3|04.03.2020|26.6400|90.9627|73.9385|66.4437
4|05.03.2020|26.4485|89.9008|73.7369|66.0784
5|06.03.2020|26.7627|90.3555|73.6842|66.1854
6|07.03.2020|27.2248|91.8043|75.8424|67.5175
7|08.03.2020|27.2248|91.8043|75.8424|67.5175
8|09.03.2020|27.2248|91.8043|75.8424|67.5175
9|10.03.2020|27.2248|91.8043|75.8424|67.5175
10|11.03.2020|28.4330|97.1292|81.8588|72.0208
11|12.03.2020|27.9528|97.0164|81.0207|71.4720
12|13.03.2020|28.6567|99.8010|83.6584|74.0274
13|14.03.2020|28.0454|98.9264|81.8610|73.1882
14|15.03.2020|28.0454|98.9264|81.8610|73.1882
15|16.03.2020|28.0454|98.9264|81.8610|73.1882
16|17.03.2020|28.1240|99.7594|82.7471|74.1262
17|18.03.2020|27.3767|99.7699|82.3056|73.8896
18|19.03.2020|28.4034|10.3788|84.8881|77.2131
19|20.03.2020|28.8383|10.6772|87.2669|80.1570
20|21.03.2020|27.8755|10.4069|84.1552|78.0443
21|22.03.2020|27.8755|10.4069|84.1552|78.0443
22|23.03.2020|27.8755|10.4069|84.1552|78.0443
23|24.03.2020|28.7703|10.6486|86.7050|80.8815
24|25.03.2020|28.3733|10.3514|85.4253|78.8493
25|26.03.2020|27.7831|10.1852|84.1485|77.7928
26|27.03.2020|27.9902|10.4462|85.9648|78.7223
27|28.03.2020|27.5213|10.3457|85.7389|77.7325
28|29.03.2020|27.5213|10.3457|85.7389|77.7325
29|30.03.2020|27.5213|10.3457|85.7389|77.7325
30|31.03.2020|27.5213|10.3457|85.7389|77.7325
31|01.04.2020|27.5213|10.3457|85.7389|77.7325
32|02.04.2020|27.5213|10.3457|85.7389|77.7325
33|03.04.2020|27.5213|10.3457|85.7389|77.7325
34|04.04.2020|27.5213|10.3457|85.7389|77.7325
35|05.04.2020|27.5213|10.3457|85.7389|77.7325
36|06.04.2020|27.5213|10.3457|85.7389|77.7325
37|07.04.2020|28.0394|10.0268|82.6346|76.4074
38|08.04.2020|27.8478|99.7673|82.0120|75.4550
39|09.04.2020|27.7828|99.1750|82.2341|75.7499
40|10.04.2020|27.3880|97.7881|81.0882|74.6050
41|11.04.2020|27.1095|97.1507|80.7358|73.7515
42|12.04.2020|27.1095|97.1507|80.7358|73.7515
43|13.04.2020|27.1095|97.1507|80.7358|73.7515
44|14.04.2020|27.1659|96.4066|80.5387|73.5245
45|15.04.2020|26.9888|96.1130|80.1186|73.3150
46|16.04.2020|27.1084|96.4408|80.6731|73.7145
47|17.04.2020|27.4941|97.1767|81.2791|74.7119
48|18.04.2020|27.3190|96.7804|80.1110|73.9441
49|19.04.2020|27.3190|96.7804|80.1110|73.9441
50|20.04.2020|27.3190|96.7804|80.1110|73.9441
51|21.04.2020|27.5755|97.5544|81.1019|74.6657
52|22.04.2020|28.1536|99.2790|82.6160|76.2562
53|23.04.2020|28.4512|10.0458|83.6826|77.0416
54|24.04.2020|27.8333|98.7617|81.1468|75.1290
55|25.04.2020|27.4855|97.7259|80.2528|74.7163
56|26.04.2020|27.4855|97.7259|80.2528|74.7163
57|27.04.2020|27.4855|97.7259|80.2528|74.7163
58|28.04.2020|27.4842|97.7029|80.7611|74.4960
59|29.04.2020|27.5677|97.8777|80.7749|74.5706
60|30.04.2020|27.3605|97.3794|80.0488|73.6894
61|01.05.2020|26.9798|96.8328|79.1189|72.7263
